dataset,window_len,pipeline,model,n_seeds,accuracy_mean,accuracy_std,balanced_accuracy_mean,balanced_accuracy_std,f1_weighted_mean,f1_weighted_std,f1_macro_mean,f1_macro_std,precision_weighted_mean,precision_weighted_std,recall_weighted_mean,recall_weighted_std,precision_macro_mean,precision_macro_std,recall_macro_mean,recall_macro_std,cohen_kappa_mean,cohen_kappa_std,mcc_mean,mcc_std,ece_mean,ece_std,log_loss_mean,log_loss_std,mean_confidence_mean,mean_confidence_std,std_confidence_mean,std_confidence_std,mean_entropy_mean,mean_entropy_std,std_entropy_mean,std_entropy_std
office_har_data,wl1000,amplitude_sanitized,XGBoost,1,0.8167,0.0,0.8167,0.0,0.7928,0.0,0.7688,0.0,0.9044,0.0,0.8167,0.0,0.8688,0.0,0.8167,0.0,0.756,0.0,0.7901,0.0,0.1302,0.0,0.8415,0.0,0.9405,0.0,0.1097,0.0,0.193,0.0,0.2681,0.0
office_har_data,wl1000,rolling_variance,RandomForest,1,0.925,0.0,0.933,0.0,0.9252,0.0,0.9226,0.0,0.9312,0.0,0.925,0.0,0.9184,0.0,0.933,0.0,0.8992,0.0,0.9012,0.0,0.3302,0.0,1.9342,0.0,0.6788,0.0,0.1171,0.0,0.768,0.0,0.2383,0.0
office_har_data,wl1000,rolling_variance,XGBoost,1,0.9083,0.0,0.9147,0.0,0.909,0.0,0.9033,0.0,0.9186,0.0,0.9083,0.0,0.9006,0.0,0.9147,0.0,0.8771,0.0,0.8801,0.0,0.082,0.0,0.4738,0.0,0.9096,0.0,0.1273,0.0,0.274,0.0,0.2712,0.0
office_har_data,wl2000,amplitude,RandomForest,1,0.8167,0.0,0.8167,0.0,0.7899,0.0,0.7707,0.0,0.8969,0.0,0.8167,0.0,0.8685,0.0,0.8167,0.0,0.7559,0.0,0.7886,0.0,0.1337,0.0,1.2402,0.0,0.773,0.0,0.1734,0.0,0.494,0.0,0.2918,0.0
office_har_data,wl2000,amplitude,XGBoost,1,0.8333,0.0,0.8333,0.0,0.8137,0.0,0.796,0.0,0.9017,0.0,0.8333,0.0,0.875,0.0,0.8333,0.0,0.7778,0.0,0.8051,0.0,0.1254,0.0,0.6976,0.0,0.9236,0.0,0.1072,0.0,0.2648,0.0,0.2544,0.0
office_har_data,wl2000,amplitude_phase,RandomForest,1,0.8167,0.0,0.8167,0.0,0.7899,0.0,0.7707,0.0,0.8969,0.0,0.8167,0.0,0.8685,0.0,0.8167,0.0,0.7559,0.0,0.7886,0.0,0.0918,0.0,1.6484,0.0,0.8543,0.0,0.1455,0.0,0.3935,0.0,0.2876,0.0
office_har_data,wl2000,amplitude_phase,XGBoost,1,0.8,0.0,0.8035,0.0,0.7736,0.0,0.7579,0.0,0.881,0.0,0.8,0.0,0.856,0.0,0.8035,0.0,0.7337,0.0,0.7655,0.0,0.1371,0.0,0.7458,0.0,0.9142,0.0,0.1486,0.0,0.2674,0.0,0.3095,0.0
office_har_data,wl2000,amplitude_sanitized,RandomForest,1,0.8167,0.0,0.8167,0.0,0.7899,0.0,0.7707,0.0,0.8969,0.0,0.8167,0.0,0.8685,0.0,0.8167,0.0,0.7559,0.0,0.7886,0.0,0.1005,0.0,1.6444,0.0,0.852,0.0,0.1441,0.0,0.4034,0.0,0.2803,0.0
office_har_data,wl2000,amplitude_sanitized,XGBoost,1,0.8167,0.0,0.8167,0.0,0.7899,0.0,0.7707,0.0,0.8969,0.0,0.8167,0.0,0.8685,0.0,0.8167,0.0,0.7559,0.0,0.7886,0.0,0.1245,0.0,0.7256,0.0,0.9224,0.0,0.1295,0.0,0.2502,0.0,0.2908,0.0
office_har_data,wl2000,rolling_variance,RandomForest,1,0.9333,0.0,0.9343,0.0,0.9338,0.0,0.9288,0.0,0.9372,0.0,0.9333,0.0,0.926,0.0,0.9343,0.0,0.9104,0.0,0.9115,0.0,0.3349,0.0,1.6569,0.0,0.6599,0.0,0.1551,0.0,0.7967,0.0,0.2972,0.0
office_har_data,wl2000,rolling_variance,XGBoost,1,0.8167,0.0,0.8211,0.0,0.8135,0.0,0.8018,0.0,0.8487,0.0,0.8167,0.0,0.8252,0.0,0.8211,0.0,0.7556,0.0,0.7669,0.0,0.102,0.0,0.5739,0.0,0.833,0.0,0.1641,0.0,0.464,0.0,0.3589,0.0
office_har_data,wl500,amplitude,RandomForest,1,0.8151,0.0,0.8147,0.0,0.796,0.0,0.7701,0.0,0.9066,0.0,0.8151,0.0,0.8673,0.0,0.8147,0.0,0.7543,0.0,0.7879,0.0,0.0973,0.0,0.5875,0.0,0.9125,0.0,0.1257,0.0,0.2456,0.0,0.26,0.0
office_har_data,wl500,amplitude,XGBoost,1,0.8193,0.0,0.8189,0.0,0.7948,0.0,0.7755,0.0,0.8892,0.0,0.8193,0.0,0.8598,0.0,0.8189,0.0,0.7583,0.0,0.7862,0.0,0.1438,0.0,0.8105,0.0,0.9631,0.0,0.0922,0.0,0.1179,0.0,0.2061,0.0
office_har_data,wl500,amplitude_phase,RandomForest,1,0.8109,0.0,0.8106,0.0,0.7899,0.0,0.7637,0.0,0.9056,0.0,0.8109,0.0,0.8658,0.0,0.8106,0.0,0.7488,0.0,0.7839,0.0,0.091,0.0,0.5918,0.0,0.8963,0.0,0.1232,0.0,0.291,0.0,0.2446,0.0
office_har_data,wl500,amplitude_phase,XGBoost,1,0.8193,0.0,0.8189,0.0,0.7948,0.0,0.7755,0.0,0.8892,0.0,0.8193,0.0,0.8598,0.0,0.8189,0.0,0.7583,0.0,0.7862,0.0,0.1423,0.0,0.8208,0.0,0.9616,0.0,0.096,0.0,0.1224,0.0,0.2113,0.0
office_har_data,wl500,amplitude_sanitized,RandomForest,1,0.8151,0.0,0.8147,0.0,0.796,0.0,0.7701,0.0,0.9066,0.0,0.8151,0.0,0.8673,0.0,0.8147,0.0,0.7543,0.0,0.7879,0.0,0.0938,0.0,0.5969,0.0,0.8928,0.0,0.1246,0.0,0.2954,0.0,0.2468,0.0
office_har_data,wl500,amplitude_sanitized,XGBoost,1,0.8235,0.0,0.8231,0.0,0.8045,0.0,0.782,0.0,0.9001,0.0,0.8235,0.0,0.8659,0.0,0.8231,0.0,0.7646,0.0,0.7935,0.0,0.144,0.0,0.7695,0.0,0.9623,0.0,0.0998,0.0,0.1177,0.0,0.2181,0.0
office_har_data,wl500,rolling_variance,RandomForest,1,0.9034,0.0,0.9132,0.0,0.9046,0.0,0.899,0.0,0.9181,0.0,0.9034,0.0,0.8978,0.0,0.9132,0.0,0.8706,0.0,0.8747,0.0,0.2101,0.0,0.6274,0.0,0.7042,0.0,0.105,0.0,0.73,0.0,0.1989,0.0
office_har_data,wl500,rolling_variance,XGBoost,1,0.9034,0.0,0.9132,0.0,0.9042,0.0,0.9002,0.0,0.916,0.0,0.9034,0.0,0.8991,0.0,0.9132,0.0,0.8704,0.0,0.8741,0.0,0.0493,0.0,0.5343,0.0,0.9161,0.0,0.101,0.0,0.2703,0.0,0.2121,0.0
office_localization_data,wl1000,amplitude,RandomForest,1,0.9002,0.0,0.915,0.0,0.8948,0.0,0.8948,0.0,0.9129,0.0,0.9002,0.0,0.8975,0.0,0.915,0.0,0.864,0.0,0.871,0.0,0.0582,0.0,2.3789,0.0,0.9211,0.0,0.1456,0.0,0.1769,0.0,0.2881,0.0
